"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
2;"020101";"gmina miejska";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"62,91";"0,29";"35,85";"64,15";"0,00";"99,71";"2,43";"6,11";"34,92";"15,66";"0,17";"1,38";"0,07";"0,10";"38,80";"0,13";"0,23";23
2;"020102";"gmina wiejska";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"62,18";"0,40";"35,71";"64,29";"0,00";"99,60";"1,91";"7,31";"41,71";"17,57";"0,10";"1,70";"0,12";"0,07";"29,11";"0,12";"0,29";11
2;"020103";"gmina wiejska";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"57,48";"0,49";"33,33";"66,67";"0,00";"99,51";"1,83";"6,46";"55,47";"10,61";"0,12";"2,19";"0,00";"0,16";"22,80";"0,12";"0,24";4
2;"020104";"gmina miejsko-wiejska";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"56,05";"0,54";"48,57";"51,43";"0,00";"99,46";"1,12";"7,25";"50,41";"20,34";"0,12";"1,58";"0,08";"0,15";"18,65";"0,09";"0,20";12
2;"020105";"gmina wiejska";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"55,41";"0,51";"20,00";"80,00";"0,00";"99,49";"2,68";"9,18";"41,89";"16,12";"0,03";"1,56";"0,07";"0,10";"27,87";"0,30";"0,20";7
2;"020106";"gmina wiejska";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"56,53";"0,43";"31,25";"68,75";"0,00";"99,57";"1,99";"6,01";"49,46";"15,03";"0,03";"1,56";"0,03";"0,24";"25,36";"0,05";"0,24";6
4;"020201";"gmina miejska";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"57,05";"0,26";"51,43";"48,57";"0,00";"99,74";"2,30";"5,98";"41,27";"15,69";"0,09";"1,26";"0,15";"0,14";"32,81";"0,09";"0,22";22
4;"020202";"gmina miejska";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"62,06";"0,37";"27,12";"72,88";"0,00";"99,63";"2,27";"5,93";"39,40";"12,73";"0,15";"1,47";"0,07";"0,20";"37,52";"0,12";"0,15";23
4;"020203";"gmina miejsko-wiejska";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"54,82";"0,44";"33,33";"66,67";"0,00";"99,56";"2,37";"6,32";"47,48";"10,93";"0,17";"1,38";"0,15";"0,25";"30,55";"0,07";"0,32";9
4;"020204";"gmina miejska";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"55,67";"0,11";"33,33";"66,67";"0,00";"99,89";"1,95";"8,27";"48,60";"14,77";"0,15";"1,32";"0,11";"0,26";"24,21";"0,04";"0,33";3
4;"020205";"gmina wiejska";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"62,13";"0,35";"25,00";"75,00";"0,00";"99,65";"1,87";"5,69";"51,84";"13,78";"0,13";"2,00";"0,04";"0,11";"24,31";"0,13";"0,09";13
4;"020206";"gmina wiejska";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";"60,00";"0,34";"50,00";"50,00";"0,00";"99,66";"1,40";"5,84";"54,37";"13,31";"0,03";"1,94";"0,06";"0,14";"22,66";"0,03";"0,23";6
4;"020207";"gmina miejsko-wiejska";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";"54,91";"0,67";"31,25";"68,75";"0,00";"99,33";"2,20";"6,14";"49,17";"12,37";"0,08";"1,57";"0,08";"0,21";"27,91";"0,17";"0,08";7
3;"020301";"gmina miejska";"m. Głogów";"głogowski";"dolnośląskie";"62,58";"0,26";"25,61";"74,39";"0,00";"99,74";"2,38";"5,91";"42,29";"14,24";"0,11";"1,66";"0,10";"0,14";"32,85";"0,10";"0,22";36
3;"020302";"gmina wiejska";"gm. Głogów";"głogowski";"dolnośląskie";"66,19";"0,43";"53,33";"46,67";"0,00";"99,57";"1,48";"6,12";"48,46";"14,00";"0,12";"1,65";"0,23";"0,06";"27,68";"0,12";"0,09";4
3;"020303";"gmina wiejska";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"69,40";"0,37";"50,00";"50,00";"0,00";"99,63";"2,28";"6,41";"43,11";"16,24";"0,04";"2,43";"0,11";"0,18";"28,87";"0,11";"0,22";4
3;"020304";"gmina wiejska";"gm. Kotla";"głogowski";"dolnośląskie";"56,29";"0,42";"12,50";"87,50";"0,00";"99,58";"2,16";"5,68";"53,84";"11,88";"0,11";"1,42";"0,05";"0,05";"24,71";"0,00";"0,11";5
3;"020305";"gmina wiejska";"gm. Pęcław";"głogowski";"dolnośląskie";"56,76";"0,42";"0,00";"100,00";"0,00";"99,58";"3,88";"4,83";"64,74";"9,34";"0,10";"2,73";"0,00";"0,21";"14,06";"0,00";"0,10";2
3;"020306";"gmina wiejska";"gm. Żukowice";"głogowski";"dolnośląskie";"56,79";"0,33";"60,00";"40,00";"0,00";"99,67";"2,59";"6,56";"50,93";"16,25";"0,00";"2,45";"0,00";"0,20";"20,69";"0,20";"0,13";2
1;"020401";"gmina miejsko-wiejska";"gm. Góra";"górowski";"dolnośląskie";"54,99";"0,28";"34,78";"65,22";"0,00";"99,72";"2,24";"5,63";"45,41";"14,54";"0,10";"2,55";"0,07";"0,11";"29,11";"0,10";"0,14";11
1;"020402";"gmina wiejska";"gm. Jemielno";"górowski";"dolnośląskie";"52,51";"0,32";"0,00";"100,00";"0,00";"99,68";"1,37";"8,29";"60,14";"8,13";"0,16";"3,06";"0,08";"0,00";"18,76";"0,00";"0,00";3
1;"020403";"gmina wiejska";"gm. Niechlów";"górowski";"dolnośląskie";"53,04";"0,39";"25,00";"75,00";"0,00";"99,61";"2,12";"6,59";"60,48";"11,02";"0,30";"3,00";"0,10";"0,10";"15,99";"0,10";"0,20";4
1;"020404";"gmina miejsko-wiejska";"gm. Wąsosz";"górowski";"dolnośląskie";"52,89";"0,17";"20,00";"80,00";"0,00";"99,83";"1,52";"6,65";"51,61";"12,74";"0,17";"2,22";"0,10";"0,10";"24,69";"0,00";"0,20";5
2;"020501";"gmina miejska";"m. Jawor";"jaworski";"dolnośląskie";"60,53";"0,33";"36,11";"63,89";"0,00";"99,67";"2,26";"6,64";"45,54";"11,24";"0,11";"2,11";"0,15";"0,06";"31,59";"0,07";"0,22";14
2;"020502";"gmina miejsko-wiejska";"gm. Bolków";"jaworski";"dolnośląskie";"55,09";"0,40";"50,00";"50,00";"0,00";"99,60";"2,61";"5,92";"47,24";"11,35";"0,16";"2,73";"0,04";"0,13";"29,64";"0,02";"0,16";13
2;"020503";"gmina wiejska";"gm. Męcinka";"jaworski";"dolnośląskie";"60,34";"0,50";"50,00";"50,00";"0,00";"99,50";"1,47";"6,47";"56,28";"10,75";"0,00";"3,15";"0,13";"0,08";"21,50";"0,04";"0,13";4
2;"020504";"gmina wiejska";"gm. Mściwojów";"jaworski";"dolnośląskie";"58,06";"0,49";"11,11";"88,89";"0,00";"99,51";"1,52";"7,11";"48,24";"13,35";"0,16";"3,64";"0,05";"0,11";"25,77";"0,00";"0,05";3
2;"020505";"gmina wiejska";"gm. Paszowice";"jaworski";"dolnośląskie";"57,31";"0,43";"25,00";"75,00";"0,00";"99,57";"1,46";"6,86";"49,95";"9,57";"0,11";"4,81";"0,22";"0,11";"26,49";"0,00";"0,43";2
2;"020506";"gmina wiejska";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"60,70";"0,47";"44,44";"55,56";"0,00";"99,53";"1,40";"6,81";"48,57";"10,50";"0,21";"7,02";"0,05";"0,16";"24,96";"0,26";"0,05";3
2;"020601";"gmina miejska";"m. Karpacz";"jeleniogórski";"dolnośląskie";"65,80";"0,20";"50,00";"50,00";"0,00";"99,80";"2,77";"4,30";"22,84";"17,04";"0,29";"1,86";"0,03";"0,13";"50,28";"0,23";"0,23";6
2;"020602";"gmina miejska";"m. Kowary";"jeleniogórski";"dolnośląskie";"56,83";"0,32";"40,00";"60,00";"0,00";"99,68";"1,94";"4,57";"32,89";"16,71";"0,11";"1,55";"0,06";"0,17";"41,45";"0,28";"0,26";7
2;"020603";"gmina miejska";"m. Piechowice";"jeleniogórski";"dolnośląskie";"61,84";"0,23";"14,29";"85,71";"0,00";"99,77";"2,14";"5,37";"31,62";"16,29";"0,23";"1,45";"0,13";"0,13";"42,37";"0,13";"0,13";4
2;"020604";"gmina miejska";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"66,23";"0,27";"50,00";"50,00";"0,00";"99,73";"2,54";"4,91";"29,30";"17,32";"0,11";"1,86";"0,08";"0,24";"43,32";"0,11";"0,22";8
2;"020605";"gmina wiejska";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"61,40";"0,57";"25,00";"75,00";"0,00";"99,43";"2,35";"5,29";"33,06";"17,11";"0,24";"2,35";"0,14";"0,14";"39,07";"0,10";"0,14";5
2;"020606";"gmina wiejska";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"64,73";"0,32";"8,33";"91,67";"0,00";"99,68";"1,88";"4,79";"30,30";"15,82";"0,08";"1,48";"0,05";"0,00";"45,45";"0,03";"0,11";4
2;"020607";"gmina wiejska";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"60,53";"0,36";"41,18";"58,82";"0,00";"99,64";"1,82";"5,03";"35,16";"15,71";"0,15";"1,82";"0,08";"0,13";"39,84";"0,15";"0,10";7
